Time,电,热,气,冷
2010/1/1 0:00,3543,3543,3543,3543
2010/2/1 0:00,2721,2721,2721,2721
2010/3/1 0:00,3435,3435,3435,3435
2010/4/1 0:00,3394,3394,3394,3394
2010/5/1 0:00,3480,3480,3480,3480
2010/6/1 0:00,3520,3520,3520,3520
2010/7/1 0:00,3896,3896,3896,3896
2010/8/1 0:00,3975,3975,3975,3975
2010/9/1 0:00,3498,3498,3498,3498
2010/10/1 0:00,3400,3400,3400,3400
2010/11/1 0:00,3460,3460,3460,3460
2010/12/1 0:00,3601,3601,3601,3601
2011/1/1 0:00,3889,3889,3889,3889
2011/2/1 0:00,3136,3136,3136,3136
2011/3/1 0:00,3888,3888,3888,3888
2011/4/1 0:00,3768,3768,3768,3768
2011/5/1 0:00,3865,3865,3865,3865
2011/6/1 0:00,3965,3965,3965,3965
2011/7/1 0:00,4349,4349,4349,4349
2011/8/1 0:00,4343,4343,4343,4343
2011/9/1 0:00,3915,3915,3915,3915
2011/10/1 0:00,3797,3797,3797,3797
2011/11/1 0:00,3836,3836,3836,3836
2011/12/1 0:00,4177,4177,4177,4177
2012/1/1 0:00,3634,3634,3634,3634
2012/2/1 0:00,3863,3863,3863,3863
2012/3/1 0:00,4160,4160,4160,4160
2012/4/1 0:00,3899,3899,3899,3899
2012/5/1 0:00,4061,4061,4061,4061
2012/6/1 0:00,4136,4136,4136,4136
2012/7/1 0:00,4556,4556,4556,4556
2012/8/1 0:00,4495,4495,4495,4495
2012/9/1 0:00,4051,4051,4051,4051
2012/10/1 0:00,3998,3998,3998,3998
2012/11/1 0:00,4139,4139,4139,4139
2012/12/1 0:00,4599,4599,4599,4599
2013/1/1 0:00,4518,4518,4518,4518
2013/2/1 0:00,3374,3374,3374,3374
2013/3/1 0:00,4241,4241,4241,4241
2013/4/1 0:00,4165,4165,4165,4165
2013/5/1 0:00,4269,4269,4269,4269
2013/6/1 0:00,4384,4384,4384,4384
2013/7/1 0:00,4950,4950,4950,4950
2013/8/1 0:00,5103,5103,5103,5103
2013/9/1 0:00,4448,4448,4448,4448
2013/10/1 0:00,4375,4375,4375,4375
2013/11/1 0:00,4485,4485,4485,4485
2013/12/1 0:00,4911,4911,4911,4911
2014/1/1 0:00,4408,4408,4408,4408
2014/2/1 0:00,3835,3835,3835,3835
2014/3/1 0:00,4544,4544,4544,4544
2014/4/1 0:00,4356,4356,4356,4356
2014/5/1 0:00,4492,4492,4492,4492
2014/6/1 0:00,4639,4639,4639,4639
2014/7/1 0:00,5097,5097,5097,5097
2014/8/1 0:00,5025,5025,5025,5025
2014/9/1 0:00,4570,4570,4570,4570
2014/10/1 0:00,4508,4508,4508,4508
2014/11/1 0:00,4632,4632,4632,4632
2014/12/1 0:00,5127,5127,5127,5127
2015/1/1 0:00,4859,4859,4859,4859
2015/2/1 0:00,3595,3595,3595,3595
2015/3/1 0:00,4448,4448,4448,4448
2015/4/1 0:00,4415,4415,4415,4415
2015/5/1 0:00,4567,4567,4567,4567
2015/6/1 0:00,4723,4723,4723,4723
2015/7/1 0:00,5034,5034,5034,5034
2015/8/1 0:00,5124,5124,5124,5124
2015/9/1 0:00,4563,4563,4563,4563
2015/10/1 0:00,4491,4491,4491,4491
2015/11/1 0:00,4658,4658,4658,4658
2015/12/1 0:00,5023,5023,5023,5023
2016/1/1 0:00,4950,4950,4950,4950
2016/2/1 0:00,3812,3812,3812,3812
2016/3/1 0:00,4762,4762,4762,4762
2016/4/1 0:00,4569,4569,4569,4569
2016/5/1 0:00,4730,4730,4730,4730
2016/6/1 0:00,4925,4925,4925,4925
2016/7/1 0:00,5523,5523,5523,5523
2016/8/1 0:00,5631,5631,5631,5631
2016/9/1 0:00,4965,4965,4965,4965
2016/10/1 0:00,4890,4890,4890,4890
2016/11/1 0:00,5072,5072,5072,5072
2016/12/1 0:00,5369,5369,5369,5369
2017/1/1 0:00,4868,4868,4868,4868
2017/2/1 0:00,4488,4488,4488,4488
2017/3/1 0:00,5139,5139,5139,5139
2017/4/1 0:00,4847,4847,4847,4847
2017/5/1 0:00,4968,4968,4968,4968
2017/6/1 0:00,5244,5244,5244,5244
2017/7/1 0:00,6072,6072,6072,6072
2017/8/1 0:00,5991,5991,5991,5991
2017/9/1 0:00,5317,5317,5317,5317
2017/10/1 0:00,5130,5130,5130,5130
2017/11/1 0:00,5310,5310,5310,5310
2017/12/1 0:00,5703,5703,5703,5703
2018/1/1 0:00,5995,5995,5995,5995
2018/2/1 0:00,4557,4557,4557,4557
2018/3/1 0:00,5325,5325,5325,5325
2018/4/1 0:00,5217,5217,5217,5217
2018/5/1 0:00,5534,5534,5534,5534
2018/6/1 0:00,5663,5663,5663,5663
2018/7/1 0:00,6484,6484,6484,6484
2018/8/1 0:00,6521,6521,6521,6521
2018/9/1 0:00,5742,5742,5742,5742
2018/10/1 0:00,5481,5481,5481,5481
2018/11/1 0:00,5647,5647,5647,5647
2018/12/1 0:00,6283,6283,6283,6283
2019/1/1 0:00,6172,6172,6172,6172
2019/2/1 0:00,4891,4891,4891,4891
2019/3/1 0:00,5732,5732,5732,5732
2019/4/1 0:00,5534,5534,5534,5534
2019/5/1 0:00,5665,5665,5665,5665
2019/6/1 0:00,5987,5987,5987,5987
2019/7/1 0:00,6672,6672,6672,6672
2019/8/1 0:00,6770,6770,6770,6770
2019/9/1 0:00,6020,6020,6020,6020
2019/10/1 0:00,5790,5790,5790,5790
2019/11/1 0:00,5912,5912,5912,5912
2019/12/1 0:00,7110,7110,7110,7110
2020/1/1 0:00,5805,5805,5805,5805
